Namespace(batch_size=64, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='protein_3', k=5, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=606, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 3 devices
Test 103, loss: 3.791355, test acc: 0.072500, test avg acc: 0.055791
Train 104, loss: 1.952021, train acc: 0.630008, train avg acc: 0.543283
Test 104, loss: 3.447354, test acc: 0.091500, test avg acc: 0.057653
Train 105, loss: 1.925090, train acc: 0.644431, train avg acc: 0.560350
Test 105, loss: 3.916035, test acc: 0.062500, test avg acc: 0.052310
Train 106, loss: 1.897701, train acc: 0.661959, train avg acc: 0.575675
Test 106, loss: 3.863640, test acc: 0.061500, test avg acc: 0.059148
Train 107, loss: 1.893701, train acc: 0.656951, train avg acc: 0.572455
Test 107, loss: 3.470101, test acc: 0.076500, test avg acc: 0.061783
Train 108, loss: 1.883157, train acc: 0.662961, train avg acc: 0.584972
Test 108, loss: 3.956911, test acc: 0.075500, test avg acc: 0.058851
Train 109, loss: 1.855641, train acc: 0.679187, train avg acc: 0.600582
Test 109, loss: 3.565120, test acc: 0.093500, test avg acc: 0.065286
Train 110, loss: 1.840997, train acc: 0.683393, train avg acc: 0.604880
Test 110, loss: 3.779587, test acc: 0.096500, test avg acc: 0.067742
Train 111, loss: 1.823843, train acc: 0.695813, train avg acc: 0.618290
Test 111, loss: 3.649147, test acc: 0.102500, test avg acc: 0.069506
Train 112, loss: 1.805484, train acc: 0.706030, train avg acc: 0.630269
Test 112, loss: 3.630278, test acc: 0.074500, test avg acc: 0.056602
Train 113, loss: 1.792257, train acc: 0.713842, train avg acc: 0.639537
Test 113, loss: 4.536668, test acc: 0.077000, test avg acc: 0.049388
Train 114, loss: 1.780182, train acc: 0.718349, train avg acc: 0.650287
Test 114, loss: 3.619263, test acc: 0.088500, test avg acc: 0.064152
Train 115, loss: 1.741455, train acc: 0.743389, train avg acc: 0.677438
Test 115, loss: 4.476313, test acc: 0.078000, test avg acc: 0.059037
Train 116, loss: 1.721137, train acc: 0.757212, train avg acc: 0.690712
Test 116, loss: 3.659085, test acc: 0.067000, test avg acc: 0.052013
Train 117, loss: 1.707421, train acc: 0.761719, train avg acc: 0.699329
Test 117, loss: 3.735887, test acc: 0.070500, test avg acc: 0.057646
Train 118, loss: 1.687574, train acc: 0.772035, train avg acc: 0.714192
Test 118, loss: 4.152823, test acc: 0.065000, test avg acc: 0.049567
Train 119, loss: 1.672756, train acc: 0.778446, train avg acc: 0.717108
Test 119, loss: 3.761072, test acc: 0.080500, test avg acc: 0.062404
Train 120, loss: 1.670330, train acc: 0.783854, train avg acc: 0.731450
Test 120, loss: 3.852657, test acc: 0.065500, test avg acc: 0.059337
Train 121, loss: 1.639431, train acc: 0.799880, train avg acc: 0.749446
Test 121, loss: 4.023829, test acc: 0.073000, test avg acc: 0.058403
Train 122, loss: 1.627395, train acc: 0.799679, train avg acc: 0.751228
Test 122, loss: 3.859415, test acc: 0.069000, test avg acc: 0.061117
Train 123, loss: 1.606985, train acc: 0.814904, train avg acc: 0.767341
Test 123, loss: 3.884777, test acc: 0.071000, test avg acc: 0.055590
Train 124, loss: 1.599272, train acc: 0.823718, train avg acc: 0.776381
Test 124, loss: 3.642048, test acc: 0.081500, test avg acc: 0.061041
Train 125, loss: 1.581771, train acc: 0.837640, train avg acc: 0.799047
Test 125, loss: 3.740082, test acc: 0.091500, test avg acc: 0.066744
Train 126, loss: 1.557723, train acc: 0.846154, train avg acc: 0.807452
Test 126, loss: 4.058172, test acc: 0.050000, test avg acc: 0.061153
Train 127, loss: 1.554908, train acc: 0.847556, train avg acc: 0.808312
Test 127, loss: 3.623800, test acc: 0.088500, test avg acc: 0.061244
Train 128, loss: 1.538571, train acc: 0.851262, train avg acc: 0.813849
Test 128, loss: 3.775610, test acc: 0.083500, test avg acc: 0.058347
Train 129, loss: 1.526979, train acc: 0.859675, train avg acc: 0.825700
Test 129, loss: 3.648081, test acc: 0.080000, test avg acc: 0.060991
Train 130, loss: 1.507005, train acc: 0.874199, train avg acc: 0.841348
Test 130, loss: 3.837656, test acc: 0.064500, test avg acc: 0.050804
Train 131, loss: 1.488254, train acc: 0.879808, train avg acc: 0.850552
Test 131, loss: 3.927722, test acc: 0.077000, test avg acc: 0.054914
Train 132, loss: 1.483459, train acc: 0.881010, train avg acc: 0.853594
Test 132, loss: 3.544226, test acc: 0.076000, test avg acc: 0.054740
Train 133, loss: 1.461810, train acc: 0.897135, train avg acc: 0.870489
Test 133, loss: 3.811943, test acc: 0.062500, test avg acc: 0.052624
Train 134, loss: 1.446285, train acc: 0.907352, train avg acc: 0.881682
Test 134, loss: 3.803920, test acc: 0.059500, test avg acc: 0.050817
Train 135, loss: 1.430254, train acc: 0.914563, train avg acc: 0.889734
Test 135, loss: 3.750490, test acc: 0.070000, test avg acc: 0.066586
Train 136, loss: 1.424239, train acc: 0.919071, train avg acc: 0.896095
Test 136, loss: 3.527607, test acc: 0.061500, test avg acc: 0.050833
Train 137, loss: 1.422861, train acc: 0.918570, train avg acc: 0.897394
Test 137, loss: 3.605535, test acc: 0.067000, test avg acc: 0.052741
Train 138, loss: 1.400499, train acc: 0.928185, train avg acc: 0.913939
Test 138, loss: 3.939460, test acc: 0.083000, test avg acc: 0.064049
Train 139, loss: 1.393036, train acc: 0.936699, train avg acc: 0.920852
Test 139, loss: 3.859680, test acc: 0.086500, test avg acc: 0.059070
Train 140, loss: 1.385757, train acc: 0.938301, train avg acc: 0.924319
Test 140, loss: 3.596238, test acc: 0.073000, test avg acc: 0.059998
Train 141, loss: 1.373173, train acc: 0.944611, train avg acc: 0.930203
Test 141, loss: 3.540840, test acc: 0.077500, test avg acc: 0.062763
Train 142, loss: 1.379744, train acc: 0.938802, train avg acc: 0.923898
Test 142, loss: 3.560331, test acc: 0.077000, test avg acc: 0.063078
